comments,predicted_aspects
if you like hummus falafel salad chicken lamb cheap awesome food great middle eastern markets tziki or anything else good in this world then go to hajibaba they have the best lunch specials their falafel pita is probably the greatest deal in history i lived off this for a time,"[{'term': 'mus Ġfal af el Ġsalad Ġchicken Ġlamb Ġcheap', 'polarity': 'pos'}, {'term': 'Ġgreat', 'polarity': 'pos'}, {'term': 'z iki Ġor', 'polarity': 'pos'}, {'term': 'Ġspecials Ġtheir', 'polarity': 'pos'}, {'term': 'af el Ġp ita Ġis', 'polarity': 'pos'}]"
i edit a food magazine and i eat here literally almost every day its close to my office and i really like their salads and sandwiches today im enjoying an eggwhite omelet with scallions and feta and sundried tomatoes its delicious theres no fuss and the people there are friendly and make great recommendations i would take people here all the time if i hadnt already decided that it was my own private hangout,"[{'term': 'Ġmagazine', 'polarity': 'pos'}, {'term': 'Ġand', 'polarity': 'pos'}, {'term': 'Ġtoday', 'polarity': 'pos'}, {'term': 'white Ġo me let Ġwith Ġsc all ions Ġand', 'polarity': 'pos'}, {'term': 'Ġthere', 'polarity': 'pos'}]"
i think this pho restaurant is just fine overall perhaps i never had an issue with the service here or perhaps i know not to really expect much in terms of service in small culturally unique joints such as this one i also think the language barrier plays a role in the type of service you receive the service was ok no one was rude nor made us feel rushed while we two of the most indecisive people in the world reviewed the menu the pho was good enough to warrant a return visit when i am not feeling like driving too far from my house for a bowl of pho they provide all of the necessary standards such as the condiments i love me some siracha and a heaping plate full of additions such as fresh herbs sprouts and lime to add as needed i think pho little saigon across the street and this joint are almost identical in service and in quality my review is more of a 35 star but i will round it up as i am feeling generous,"[{'term': 'o Ġrestaurant', 'polarity': 'pos'}, {'term': 'Ġhere', 'polarity': 'neu'}, {'term': 'Ġin', 'polarity': 'neu'}, {'term': 'Ġyou', 'polarity': 'neu'}, {'term': 'Ġwas', 'polarity': 'neu'}, {'term': 'Ġthe', 'polarity': 'neu'}, {'term': 'o Ġwas', 'polarity': 'neu'}, {'term': 'o Ġthey', 'polarity': 'neu'}, {'term': 'iments Ġi', 'polarity': 'pos'}, {'term': 'acha Ġand', 'polarity': 'pos'}, {'term': 'Ġto', 'polarity': 'neu'}, {'term': 'Ġand', 'polarity': 'neu'}]"
amazing start to finish this place exceeded my expectations service was prompt and super friendly strong menu and food is dynamite this is a must see must eat,"[{'term': 'Ġwas', 'polarity': 'pos'}, {'term': 'Ġand', 'polarity': 'pos'}, {'term': 'Ġis', 'polarity': 'pos'}]"
glad to have found a healthy juicefood place i can get lunch at and yes i totally cheated and got the kids mac n cheese makes me feel better on days like this,"[{'term': 'food Ġplace', 'polarity': 'pos'}, {'term': 'Ġat', 'polarity': 'neu'}, {'term': 'Ġn Ġcheese Ġmakes', 'polarity': 'neu'}]"
my wife and i came here after driving by several times and boy am i glad we came here for dinner the place is kind of small inside but they also have a decently sized patio outside theres a full bar and some tvs inside for games of course the food is the real draw here i got the mixed meat sand which and my wife got the bbq burger and both were great the meat was juicy and fresh and the sauce was a great touch they had sweet tea on the menu and it wasnt as good as what ive had in texas but it was still a fair sight better than anything else ive had in arizona,"[{'term': 'Ġand', 'polarity': 'pos'}, {'term': 'Ġis', 'polarity': 'pos'}, {'term': 'Ġmeat Ġsand Ġwhich', 'polarity': 'pos'}, {'term': 'b q Ġburger Ġand', 'polarity': 'pos'}, {'term': 'Ġwas', 'polarity': 'pos'}, {'term': 'Ġwas', 'polarity': 'pos'}, {'term': 'Ġtea Ġon', 'polarity': 'pos'}, {'term': 'Ġand', 'polarity': 'pos'}]"
attended a great meetup with polys adventures in diningnnindoor outdoor dining i didnt even see the interior of this place it was packed for what i believe was a boxing match watching on tvs you order at a takeout style window on the outside of the property in the front you have meats cooking on a few pits nnthe group sat outside near the pits kinda hot i had 5 different types of tacos all served on double tortillas and a taco bar with onion cilantro lime and 3 or 4 different sauces i believe the tacos were a 1 i had a few margaritas and a few beers and just gave someone 20 and asked them to buy as many tacos as they could they brought over at least 3 if not 4 plates of tacos nnthis is the kinda place to enjoy long after the sun goes down bring a lounge chair a cooler with beers and some buddies and start chowing on the tacos good stuff but bring a designated driver,"[{'term': 'out Ġstyle', 'polarity': 'neu'}, {'term': 'Ġcooking', 'polarity': 'neu'}, {'term': 'Ġall', 'polarity': 'neu'}, {'term': 'Ġbar Ġwith', 'polarity': 'pos'}, {'term': 'Ġi', 'polarity': 'pos'}, {'term': 'Ġwere', 'polarity': 'neu'}, {'term': 'Ġas', 'polarity': 'pos'}, {'term': 'Ġof', 'polarity': 'neu'}, {'term': 'Ġn', 'polarity': 'neu'}, {'term': 'Ġgood', 'polarity': 'neu'}]"
1010 would recommend tabitha as your nail artist she is great at what she does and has a great personality to boot i have been coming to tabitha for several years now and she never disappoints she is a true nail artist often coming up with freestyle designs for gel and acrylic nails she offers original work,[]
daughter was born a week ago and everything went great we were checked in quickly and the nurses were great best part was how quickly we were discharged the next day anyone whos had a baby knows that by the next day all you want to do is get that little bundle of joy home all tests were done and we were out just after lunch nnonly thing i would reccomend would be to add small refrigerators to post partum rooms its a small but significant addition,"[{'term': 'ators Ġto', 'polarity': 'pos'}]"
wish i would have come here at nighttime as i hear people dance on the long wooden tables thats my only regret at least the accordian player was still doing his thing during our meal totally german place with authentic german food and great beer in huge glasses i also regret not buying one of those glasses unfortunately i wasnt that hungry when i came here so i just got a side of spaetzle and it was delicious my boyfriend got the potato pancakes and they were also very good so awesome here if im in pittsburgh again id love to go back at nighttime when the place apparently comes more alive,"[{'term': 'ian Ġplayer', 'polarity': 'pos'}, {'term': 'Ġin', 'polarity': 'neu'}, {'term': 'etz le Ġand', 'polarity': 'pos'}, {'term': 'Ġpancakes Ġand', 'polarity': 'pos'}]"
we lives near blakeney so the area is like a magnet for us we were on the west coast for two tears before coming back to charlotte our first stop eating out was encore and it was as good as we remembered they need a better beer selection but the menu is varied and has good kids choices great family restaurant or good for 2 couples looking for casual night out the bar is great if you havevto wait i remember the wait two years ago being much longer but maybe its the economy,"[{'term': 'Ġselection Ġbut', 'polarity': 'pos'}, {'term': 'Ġis', 'polarity': 'pos'}, {'term': 'Ġis', 'polarity': 'neu'}, {'term': 'Ġtwo', 'polarity': 'neu'}]"
we picked this place based on the yelp reviews and i have to say it was pretty good im not a huge authentic mexican food fan and this was definitely authentic but it was good i had the barbacoa taco the chicken taco and the carnitas taco all were good and everything is home made at this place we also ordered the flautas appetizer which was also good however the dinner portion was brought out instead of the appetizer the only thing i wasnt a fan of was their salsa i was definitely looking for more heat in it and that is just a personal preference you could tell that it was made with fresh ingredients there the guac was good had a good lime zing to it my boyfriend had the same thing i did minus the chicken taco he decided to try the beef tongue taco instead and he really liked itnnthere was a small altercation about a check between another customer and the owner mostly it was the customer yelling in spanish and the owner gracefully trying to accommodate him after the customer left the owner came over to apologize and inquire about out meal he was so nice and gracious and honestly made us feel really good about supporting a local mom and pop establishment without us even mentioning it he questioned the flautas order saying he wasnt sure which we wanted so he erred on the bigger portion but only charged us the appetizer rate really nice family run business who will treat you very well,"[{'term': 'aco a Ġtaco Ġthe', 'polarity': 'pos'}, {'term': 'Ġtaco Ġand', 'polarity': 'pos'}, {'term': 'itas Ġtaco Ġall', 'polarity': 'pos'}, {'term': 'aut as Ġappet', 'polarity': 'pos'}, {'term': 'izer Ġwhich', 'polarity': 'pos'}, {'term': 'Ġportion Ġwas', 'polarity': 'neu'}, {'term': 'izer Ġthe', 'polarity': 'pos'}, {'term': 'ac Ġwas', 'polarity': 'pos'}, {'term': 'Ġtaco Ġhe', 'polarity': 'neu'}, {'term': 'Ġtongue Ġtaco Ġinstead', 'polarity': 'pos'}, {'term': 'Ġhe', 'polarity': 'neu'}, {'term': 'aut as Ġorder Ġsaying', 'polarity': 'neu'}, {'term': 'Ġbut', 'polarity': 'neu'}, {'term': 'izer Ġrate Ġreally', 'polarity': 'pos'}]"
okay so when was the last time it was 114 degrees out and you were in your car wishing your ac was just a tad colder and you couldnt stop thinking that you would like an ice cold treat well take a drive down horizon ridge and it will be a like a mirage in the sahara no your eyes dont deceive you that is a smiling purple penguin and it looks like there is a line from sea world waiting to check it out nnafter hearing more than enough good things about this place i was beginning to think they gave out twenties with each purchase because these people talk about it like they are getting paid to advertise and there is no way that this place is that good come on it is shaved ice and sugar flavoringright wrong it has to be one of the best cones of snow you have ever eaten they have flavors from pina colada to red velvet even horchata nnyes the parking is tough because it is at a gas station and the line is long but come on folks we will wait in line for our dudes at the slider truck and why is that because they are delicious and anything worth putting in your mouth is worth waiting for so why not wait in line for the penguinnnall in all i give two cones up to the ppss see you next season buddy,"[{'term': 'ina Ġcol ada Ġto', 'polarity': 'pos'}, {'term': 'ch ata Ġn', 'polarity': 'pos'}, {'term': 'Ġtruck', 'polarity': 'neu'}]"
if you want great desserts you have come to the right place i love the assortment of cookies but the tiramisu has some bragging rights they also have a busy gelato stand outside that has every flavor with delicous cones,"[{'term': 'Ġyou', 'polarity': 'pos'}, {'term': 'am isu Ġhas', 'polarity': 'pos'}, {'term': 'ato Ġstand Ġoutside', 'polarity': 'pos'}]"
nice rooms and huge casino pool is nice and same with the arcade for kids great food i would recommend both the buffets just be ready to wait in line unless youre platinum or above in they players club nice spot to casino hop late at night its basically center strip,"[{'term': 'Ġand', 'polarity': 'pos'}, {'term': 'Ġpool Ġis', 'polarity': 'pos'}, {'term': 'Ġi', 'polarity': 'pos'}, {'term': 'ets Ġjust', 'polarity': 'pos'}]"
took my clients here last night on their recommendation chop did not disappoint the wait staff was impeccable in their timing and amount of attention the food was delicious i had the trout and it was enjoyable but i found myself digging into my partners baby back ribs wow them ribs were simply amazing nnour cocktails were top class an our whole group ordered seconds all in all a great time perfect place to entertain guest date etc nnbonus i made a mistake on the bill it was my fault but the manager graciously and discreetly corrected it without any qualms first class act,"[{'term': 'Ġstaff Ġwas', 'polarity': 'pos'}, {'term': 'Ġwas', 'polarity': 'pos'}, {'term': 'Ġand', 'polarity': 'pos'}, {'term': 'Ġwere', 'polarity': 'pos'}, {'term': 'Ġwere', 'polarity': 'pos'}, {'term': 'Ġdate', 'polarity': 'neu'}, {'term': 'Ġit', 'polarity': 'neu'}, {'term': 'Ġgr', 'polarity': 'neu'}]"
i havent been to vegas since march so its been a while since eating here but for some reason i have no idea why i was just thinking about the calzone that i get at wolfgang pucks every time i go there its probably the best calzone that ive ever had and ive eaten my fair share of calzones perfect crust not too flaky not too thick lots of delicious cheese and plenty of chicken and whatnot nnthe first time we ate here we were both hot and tired and cranky and hungry and had wandered around new york new york and the mgm grand and no food option sounded good finally we decided to try wolfgang pucks and we were pleasantly surprised by the outstanding calzone and of course the maytag bleu cheese potato chips it instantly made us feel better and we were able to continue on nnim a little bummed im hungry for a calzone but i wont be back in vegas for quite some time and it doesnt look like any of the affordable puck locations in los angeles serve them hmmmmust think of an excuse,"[{'term': 'zone Ġthat', 'polarity': 'pos'}, {'term': 'zone Ġthat', 'polarity': 'pos'}, {'term': 'z ones Ġperfect', 'polarity': 'pos'}, {'term': 'Ġnot', 'polarity': 'pos'}, {'term': 'Ġand', 'polarity': 'pos'}, {'term': 'Ġand', 'polarity': 'pos'}, {'term': 'Ġoption', 'polarity': 'neu'}, {'term': 'zone Ġand', 'polarity': 'pos'}, {'term': 'tag Ġble u Ġcheese Ġpotato Ġchips Ġit', 'polarity': 'pos'}, {'term': 'zone Ġbut', 'polarity': 'pos'}]"
always come here for gel pedi n medi i recommend both tony and lina cuz they do the jobs very careful n detailed in a sufficient time if you want to do a design they are good at it too call ahead before u head over,"[{'term': 'Ġped i Ġn', 'polarity': 'pos'}]"
o face doughnuts is within walking distance of my office so i might be a regular my goal is to try the whole menu they have a lot of variety so that might take a while thus far ive had the lemon rosemary passion raspberry almond joy and a chocolate one i cant remember i have not tried the regulartraditional doughnuts yeti get too distracted by the sprinkles and whatnot right now the passion raspberry is my reigning favoritennthe one complaint i have about the doughnuts is that the gourmet doughnuts are a little overstuffed so you might have to eat them in one sitting they are a little messy and might fall apart if you try to set them down the coffee is not that great its not undrinkable but i think they could definitely improve in that departmentnnservice is pretty good in vegas we get a little spoiled by the very professional service industry we have here and this place is no exception the staff is friendly and attentive they are happy to explain the different flavors and offer their recommendations nnoverall thumbs up you should definitely try this place out,"[{'term': 'Ġrose mary Ġpassion Ġraspberry Ġalmond Ġjoy Ġand', 'polarity': 'pos'}, {'term': 'nuts Ġyet', 'polarity': 'pos'}, {'term': 'les Ġand', 'polarity': 'pos'}, {'term': 'Ġraspberry Ġis', 'polarity': 'pos'}, {'term': 'nuts Ġis', 'polarity': 'pos'}, {'term': 'ourmet Ġdough nuts Ġare', 'polarity': 'pos'}, {'term': 'Ġis', 'polarity': 'neu'}, {'term': 'Ġis', 'polarity': 'pos'}, {'term': 'Ġindustry', 'polarity': 'neu'}, {'term': 'Ġis', 'polarity': 'pos'}, {'term': 'Ġand', 'polarity': 'pos'}]"
for being a japanesestyle grill yogis is pretty good there are several bowls available including a chicken katsu and many beef flavored inspirations yogis rice bowls are offered in brown or white rice you can add a popular spicy sauce that really adds a kick definitely a good eat for lunchnnthe employees are very friendly and michelle loves to smile yogis can customize orders to make them vegetarian or add a different sauce or ingredient there is a pump for teriyaki sauce for those of you that like extrannyogis sits near a competing restaurant but they always seem busy during lunch there is limited outside seating but plenty of seating inside the tables and dispensers for food and condiments are kept neat and clean,"[{'term': 'Ġk atsu Ġand', 'polarity': 'pos'}, {'term': 'Ġflavored', 'polarity': 'pos'}, {'term': 'Ġsauce Ġthat', 'polarity': 'pos'}, {'term': 'Ġor', 'polarity': 'neu'}, {'term': 'iy aki Ġsauce Ġfor', 'polarity': 'pos'}, {'term': 'Ġbut', 'polarity': 'neu'}, {'term': 'Ġinside', 'polarity': 'neu'}, {'term': 'Ġand', 'polarity': 'neu'}, {'term': 'ers Ġfor', 'polarity': 'neu'}, {'term': 'Ġand', 'polarity': 'neu'}, {'term': 'iments Ġare', 'polarity': 'neu'}]"
surprisinig how good a burger can taste if you have a total rewards card you save a couple of bucks so get one it is free if you have any status with the casino you can skip the most of the time long linethe food is really awesome love it,"[{'term': 'Ġcan', 'polarity': 'neu'}, {'term': 'Ġis', 'polarity': 'neu'}]"
